ticker,time,open,high,low,close,volume
VCG,2017-01-03,6.99,7.1,6.94,6.99,765140
VCG,2017-01-04,6.99,7.3,6.99,7.2,2535494
VCG,2017-01-05,7.25,7.4,7.2,7.35,2464567
VCG,2017-01-06,7.4,7.4,7.2,7.2,899517
VCG,2017-01-09,7.2,7.35,7.2,7.25,1022275
VCG,2017-01-10,7.25,7.46,7.2,7.4,2054601
VCG,2017-01-11,7.4,7.56,7.4,7.51,1531230
VCG,2017-01-12,7.46,7.51,7.35,7.35,629207
VCG,2017-01-13,7.4,7.4,7.25,7.25,785813
VCG,2017-01-16,7.2,7.35,7.15,7.15,903460
VCG,2017-01-17,7.2,7.2,7.1,7.1,1048558
VCG,2017-01-18,7.15,7.15,7.04,7.04,832295
VCG,2017-01-19,7.04,7.1,6.89,6.99,584322
VCG,2017-01-20,6.99,7.25,6.99,7.15,995450
VCG,2017-01-23,7.15,7.2,6.99,7.1,708397
VCG,2017-01-24,7.1,7.15,6.99,7.1,414950
VCG,2017-01-25,7.15,7.2,7.1,7.2,468162
VCG,2017-02-02,7.25,7.3,7.15,7.25,1186006
VCG,2017-02-03,7.25,7.25,7.1,7.15,962305
VCG,2017-02-06,7.15,7.3,7.15,7.3,1382725
VCG,2017-02-07,7.35,7.87,7.3,7.66,5465950
VCG,2017-02-08,7.76,7.97,7.61,7.82,2740517
VCG,2017-02-09,7.87,7.87,7.66,7.66,1210420
VCG,2017-02-10,7.66,7.87,7.66,7.82,1933212
VCG,2017-02-13,7.87,8.28,7.82,8.12,3861513
VCG,2017-02-14,8.18,8.28,8.02,8.12,1636126
VCG,2017-02-15,8.12,8.28,8.02,8.12,1716485
VCG,2017-02-16,8.18,8.28,7.92,7.92,2793826
VCG,2017-02-17,8.02,8.12,7.97,8.02,2352510
VCG,2017-02-20,8.02,8.48,8.02,8.38,3326568
VCG,2017-02-21,8.43,8.48,8.28,8.28,1926103
VCG,2017-02-22,8.28,8.33,8.02,8.12,2272645
VCG,2017-02-23,8.07,8.18,7.87,8.02,2765654
VCG,2017-02-24,8.02,8.07,7.82,7.92,1871836
VCG,2017-02-27,7.92,8.07,7.92,7.97,937912
VCG,2017-02-28,8.23,8.23,7.82,7.82,1086203
VCG,2017-03-01,7.87,7.87,7.66,7.71,1879824
VCG,2017-03-02,7.92,8.02,7.71,7.97,1946710
VCG,2017-03-03,7.97,7.97,7.82,7.82,1069393
VCG,2017-03-06,7.87,8.12,7.87,8.07,1993422
VCG,2017-03-07,8.07,8.28,8.02,8.23,3496098
VCG,2017-03-08,8.23,8.48,8.12,8.18,4720328
VCG,2017-03-09,8.18,8.28,8.12,8.18,1798529
VCG,2017-03-10,8.18,8.43,8.12,8.23,2969342
VCG,2017-03-13,8.23,8.28,8.07,8.07,2043913
VCG,2017-03-14,8.07,8.12,7.97,8.12,1366315
VCG,2017-03-15,8.12,8.12,7.97,8.02,1507345
VCG,2017-03-16,8.02,8.23,8.02,8.18,1430800
VCG,2017-03-17,8.23,8.54,8.23,8.43,7800990
VCG,2017-03-20,8.54,8.74,8.48,8.48,3211373
VCG,2017-03-21,8.54,8.59,8.38,8.59,1927116
VCG,2017-03-22,8.59,8.79,8.33,8.33,3967185
VCG,2017-03-23,8.33,8.43,8.28,8.43,1662799
VCG,2017-03-24,8.43,8.54,8.28,8.33,2223780
VCG,2017-03-27,8.33,8.48,8.28,8.28,1909290
VCG,2017-03-28,8.28,8.48,8.23,8.28,2304371
VCG,2017-03-29,8.33,8.33,8.18,8.23,1662855
VCG,2017-03-30,8.23,8.33,8.18,8.18,1659042
VCG,2017-03-31,8.18,8.23,8.07,8.12,1518379
